Month,Site,Species,Y,alpha,beta,ETRmax,Ik,Replicate.ID,Temperature,Salinity
Sept.23,SHEM,Ulva,0.642,0.166,NA,26.178,157.984,1,24.8,30.05
Sept.23,SHEM,Ulva,0.547,0.198,0.007,72.456,435.753,2,24.8,30.05
Sept.23,SHEM,Ulva,0.515,0.157,0.061,49.743,371.209,3,24.8,30.05
Sept.23,SHEM,Gracilaria,NA,NA,NA,NA,NA,1,24.8,30.05
Sept.23,SHEM,Gracilaria,NA,NA,NA,NA,NA,2,24.8,30.05
Sept.23,SHEM,Gracilaria,NA,NA,NA,NA,NA,3,24.8,30.05
Sept.23,CHS,Ulva,0.724,0.254,0.002,25.63,101.015,1,24.67,25.18
Sept.23,CHS,Ulva,0.704,0.164,NA,27.311,166.936,2,24.67,25.18
Sept.23,CHS,Ulva,0.778,0.191,NA,38.806,203.263,3,24.67,25.18
Sept.23,CHS,Gracilaria,0.491,0.102,NA,24.434,239.681,1,24.67,25.18
Sept.23,CHS,Gracilaria,0.486,0.109,NA,23.257,189.57,2,24.67,25.18
Sept.23,CHS,Gracilaria,0.606,0.153,NA,23.283,151.73,3,24.67,25.18
Sept.23,JIYC,Ulva,0.671,0.273,0.006,49.41,227.197,1,25,25.46
Sept.23,JIYC,Ulva,0.753,0.259,0.015,72.324,337.921,2,25,25.46
Sept.23,JIYC,Ulva,0.635,0.218,0.031,79.482,428.681,3,25,25.46
Sept.23,JIYC,Gracilaria,0.54,0.119,NA,24.86,208.162,1,25,25.46
Sept.23,JIYC,Gracilaria,0.425,0.073,NA,23.469,319.803,2,25,25.46
Sept.23,JIYC,Gracilaria,0.543,0.127,NA,23.885,188.158,3,25,25.46
Oct,SHEM,Ulva,0.794,0.311,0.015,58.502,187.883,1,20.69,30.42
Oct,SHEM,Ulva,0.807,0.274,0.048,84.339,308.225,2,20.69,30.42
Oct,SHEM,Ulva,0.79,0.215,NA,83.477,388.045,3,20.69,30.42
Oct,SHEM,Gracilaria,0.611,0.145,NA,19.205,132.011,1,20.69,30.42
Oct,SHEM,Gracilaria,0.573,0.129,NA,24.683,191.369,2,20.69,30.42
Oct,SHEM,Gracilaria,0.557,0.286,0.002,50.81,361.036,3,20.69,30.42
Oct,CHS,Ulva,0.683,0.21,0.006,36.485,173.462,1,20.98,28.57
Oct,CHS,Ulva,0.775,0.297,0.012,46.14,155.513,2,20.98,28.57
Oct,CHS,Ulva,0.75,0.229,0.007,20.667,90.248,3,20.98,28.57
Oct,CHS,Gracilaria,0.48,0.074,NA,22.927,307.743,1,20.98,28.57
Oct,CHS,Gracilaria,0.534,0.13,NA,17.983,137.854,2,20.98,28.57
Oct,CHS,Gracilaria,0.491,0.113,NA,25.303,224.064,3,20.98,28.57
Oct,JIYC,Ulva,0.379,0.148,NA,67.951,207.585,1,21.54,27.52
Oct,JIYC,Ulva,0.713,0.272,0.012,49.427,181.524,2,21.54,27.52
Oct,JIYC,Ulva,0.753,0.252,0.012,40.382,160.26,3,21.54,27.52
Oct,JIYC,Gracilaria,0.54,0.083,NA,18.906,227.39,1,21.54,27.52
Oct,JIYC,Gracilaria,0.563,0.165,NA,20.984,127.372,2,21.54,27.52
Oct,JIYC,Gracilaria,0.585,0.113,NA,21.18,186.939,3,21.54,27.52
Nov,SHEM,Ulva,0.758,0.254,NA,87.254,429.036,1,17.25,30.39
Nov,SHEM,Ulva,0.63,0.203,NA,91.338,407.314,2,17.25,30.39
Nov,SHEM,Ulva,0.778,0.22,NA,93.151,423.702,3,17.25,30.39
Nov,SHEM,Gracilaria,0.576,0.203,NA,31.249,199.255,1,17.25,30.39
Nov,SHEM,Gracilaria,0.594,0.089,NA,32.481,185.384,2,17.25,30.39
Nov,SHEM,Gracilaria,0.542,0.13,NA,29.652,203.458,3,17.25,30.39
Nov,CHS,Ulva,0.775,0.213,0.007,64.937,248.024,1,17.08,30.09
Nov,CHS,Ulva,0.785,0.214,0.001,59.139,276.237,2,17.08,30.09
Nov,CHS,Ulva,0.718,0.249,0.01,39.387,158.485,3,17.08,30.09
Nov,CHS,Gracilaria,0.59,0.071,NA,15.796,222.72,1,17.08,30.09
Nov,CHS,Gracilaria,0.571,0.118,NA,27.407,231.344,2,17.08,30.09
Nov,CHS,Gracilaria,0.617,0.145,NA,21.339,146.91,3,17.08,30.09
Nov,JIYC,Ulva,0.709,0.193,NA,66.517,344.188,1,18.37,28.62
Nov,JIYC,Ulva,0.789,0.224,NA,129.43,577.733,2,18.37,28.62
Nov,JIYC,Ulva,0.802,0.245,0.236,93.999,383.313,3,18.37,28.62
Nov,JIYC,Gracilaria,0.582,0.128,NA,36.564,285.063,1,18.37,28.62
Nov,JIYC,Gracilaria,0.559,0.184,0.006,28.715,156.45,2,18.37,28.62
Nov,JIYC,Gracilaria,0.559,0.171,0.001,21.824,127.918,3,18.37,28.62
Dec,SHEM,Ulva,0.619,0.149,NA,70.38,473.859,1,13.74,30.08
Dec,SHEM,Ulva,0.775,0.224,NA,131.9,587.774,2,13.74,30.08
Dec,SHEM,Ulva,0.764,0.212,NA,87.988,414.521,3,13.74,30.08
Dec,SHEM,Gracilaria,0.538,0.129,NA,42.457,327.901,1,13.74,30.08
Dec,SHEM,Gracilaria,0.58,0.127,NA,18.371,144.131,2,13.74,30.08
Dec,CHS,Ulva,0.761,0.245,0.002,45.97,187.55,1,13.74,30.08
Dec,CHS,Ulva,0.76,0.206,NA,130.089,633.009,2,14.87,27.33
Dec,CHS,Ulva,0.756,0.268,0.001,19.71,73.517,3,14.87,27.33
Dec,CHS,Gracilaria,0.478,0.107,NA,19.12,178.534,1,14.87,27.33
Dec,CHS,Gracilaria,0.524,0.111,NA,22.83,205.231,2,14.87,27.33
Dec,CHS,Gracilaria,0.557,0.166,NA,34.124,206.026,3,14.87,27.33
Dec,JIYC,Ulva,0.71,0.188,NA,59.206,314.616,1,14.32,26.99
Dec,JIYC,Ulva,0.737,0.188,NA,52.966,281.896,2,14.32,26.99
Dec,JIYC,Ulva,0.738,0.202,NA,85.946,426.2,3,14.32,26.99
Dec,JIYC,Gracilaria,0.559,0.144,NA,31.033,215.614,1,14.32,26.99
Dec,JIYC,Gracilaria,0.51,0.146,NA,30.093,205.712,2,14.32,26.99
Dec,JIYC,Gracilaria,0.504,0.13,NA,20.593,161.196,3,14.32,26.99
Jan.24,SHEM,Ulva,0.709,0.173,NA,31.622,182.561,1,11.63,26.17
Jan.24,SHEM,Ulva,0.747,0.214,NA,59.368,277.104,2,11.63,26.17
Jan.24,SHEM,Ulva,0.684,0.177,NA,47.951,271.643,3,11.63,26.17
Jan.24,SHEM,Gracilaria,0.543,0.088,0.019,10.201,115.776,1,11.63,26.17
Jan.24,SHEM,Gracilaria,0.556,0.069,NA,11.414,165.418,2,11.63,26.17
Jan.24,SHEM,Gracilaria,0.48,0.088,NA,19.762,223.597,3,11.63,26.17
Jan.24,CHS,Ulva,0.714,0.241,0.003,17.165,71.122,1,11.85,23.52
Jan.24,CHS,Ulva,0.69,0.19,0.009,39.601,257.18,2,11.85,23.52
Jan.24,CHS,Ulva,0.7,0.193,0.001,22.41,115.872,3,11.85,23.52
Jan.24,CHS,Gracilaria,0.278,0.044,NA,8.555,195.025,1,11.85,23.52
Jan.24,CHS,Gracilaria,0.39,0.07,NA,18.246,259.351,2,11.85,23.52
Jan.24,CHS,Gracilaria,0.283,0.062,0.001,12.178,195.942,3,11.85,23.52
Jan.24,JIYC,Ulva,0.703,0.164,NA,34.117,207.678,1,12.14,21.84
Jan.24,JIYC,Ulva,0.714,0.18,NA,42.607,236.136,2,12.14,21.84
Jan.24,JIYC,Ulva,0.761,0.204,NA,53.18,260.425,3,12.14,21.84
Jan.24,JIYC,Gracilaria,0.293,0.031,NA,11.711,374.024,1,12.14,21.84
Jan.24,JIYC,Gracilaria,0.513,0.082,NA,13.465,163.417,2,12.14,21.84
Jan.24,JIYC,Gracilaria,0.297,0.061,NA,12.874,211.689,3,12.14,21.84
Feb,SHEM,Ulva,0.639,0.207,0.02,51.349,247.62,1,12.64,23.72
Feb,SHEM,Ulva,0.782,0.281,0.016,72.333,257.045,2,12.64,23.72
Feb,SHEM,Ulva,0.742,0.249,3.212,99.088,398.537,3,12.64,23.72
Feb,SHEM,Gracilaria,0.577,0.169,NA,34.943,206.995,1,12.64,23.72
Feb,SHEM,Gracilaria,0.544,0.186,0.008,33.471,179.617,2,12.64,23.72
Feb,SHEM,Gracilaria,0.497,0.143,NA,22.09,154.326,3,12.64,23.72
Feb,CHS,Ulva,0.705,0.211,0.113,80.584,382.303,1,12.84,20.11
Feb,CHS,Ulva,0.775,0.251,1.597,96.465,384.173,2,12.84,20.11
Feb,CHS,Ulva,0.723,0.212,0.028,69.578,328.334,3,12.84,20.11
Feb,CHS,Gracilaria,0.564,0.128,NA,21.478,167.984,1,12.84,20.11
Feb,CHS,Gracilaria,0.576,0.125,NA,25.545,204.117,2,12.84,20.11
Feb,CHS,Gracilaria,0.566,0.153,NA,18.738,122.832,3,12.84,20.11
Feb,JIYC,Ulva,0.655,0.195,0.921,152.083,778.016,1,14.03,18.74
Feb,JIYC,Ulva,0.645,0.189,0.001,68.631,362.795,2,14.03,18.74
Feb,JIYC,Ulva,0.748,0.227,0.025,106.306,467.559,3,14.03,18.74
Feb,JIYC,Gracilaria,0.446,0.091,NA,29.818,326.131,1,14.03,18.74
Feb,JIYC,Gracilaria,0.304,0.056,NA,28.422,510.354,2,14.03,18.74
Feb,JIYC,Gracilaria,0.457,0.161,NA,55.658,346.437,3,14.03,18.74
Mar,SHEM,Ulva,0.797,0.277,0.015,51.754,186.953,1,16.07,21.87
Mar,SHEM,Ulva,0.689,0.239,0.035,83.214,348.39,2,16.07,21.87
Mar,SHEM,Ulva,0.798,0.285,0.016,92.858,325.969,3,16.07,21.87
Mar,SHEM,Gracilaria,0.521,0.11,NA,19.108,173.312,1,16.07,21.87
Mar,SHEM,Gracilaria,0.495,0.123,NA,26.115,211.986,2,16.07,21.87
Mar,CHS,Ulva,0.657,0.232,0.01,58.995,254.112,1,16.07,21.87
Mar,CHS,Ulva,0.767,0.241,3.923,27.339,127.153,2,16.38,20.13
Mar,CHS,Ulva,0.758,0.273,3.533,162.389,595.4,3,16.38,20.13
Mar,CHS,Gracilaria,0.647,0.224,0.004,22.85,102.204,1,16.38,20.13
Mar,CHS,Gracilaria,0.536,0.209,0.003,24.687,118.21,2,16.38,20.13
Mar,CHS,Gracilaria,0.511,0.163,NA,23.241,142.414,3,16.38,20.13
Mar,JIYC,Ulva,0.666,0.258,0.029,102.605,398.429,1,16.61,18.71
Mar,JIYC,Ulva,0.778,0.263,0.006,61.711,234.916,2,16.61,18.71
Mar,JIYC,Ulva,0.707,0.198,NA,85.169,376.083,3,16.61,18.71
Mar,JIYC,Gracilaria,0.616,0.1,-0.002,17.412,173.856,1,16.61,18.71
Mar,JIYC,Gracilaria,0.545,0.182,NA,27.233,149.914,2,16.61,18.71
Mar,JIYC,Gracilaria,0.611,0.157,NA,25.145,159.971,3,16.61,18.71
Apr,SHEM,Ulva,0.751,0.27,0.02,62.769,232.456,1,20.19,26.1
Apr,SHEM,Ulva,0.747,0.248,0.888,98.267,396.699,2,20.19,26.1
Apr,SHEM,Ulva,0.771,0.218,0.025,90.219,414.301,3,20.19,26.1
Apr,SHEM,Gracilaria,0.523,0.177,NA,30.183,170.429,1,20.19,26.1
Apr,SHEM,Gracilaria,0.521,0.074,NA,40.315,304.416,2,20.19,26.1
Apr,SHEM,Gracilaria,0.513,0.049,NA,27.479,372.676,3,20.19,26.1
Apr,CHS,Ulva,0.756,0.206,0.047,70.746,344.193,1,20.61,25.22
Apr,CHS,Ulva,0.727,0.25,0.003,49.706,199.221,2,20.61,25.22
Apr,CHS,Ulva,0.753,0.277,0.009,78.2,282.749,3,20.61,25.22
Apr,CHS,Gracilaria,0.571,0.133,NA,35.546,267.278,1,20.61,25.22
Apr,CHS,Gracilaria,0.596,0.115,NA,31.276,272.777,2,20.61,25.22
Apr,CHS,Gracilaria,0.513,0.127,NA,17.174,135.087,3,20.61,25.22
Apr,JIYC,Ulva,0.768,0.23,NA,88.575,384.906,1,21.32,24.96
Apr,JIYC,Ulva,0.684,0.201,NA,106.985,533.064,2,21.32,24.96
Apr,JIYC,Ulva,0.657,0.239,0.019,63.491,265.674,3,21.32,24.96
Apr,JIYC,Gracilaria,0.136,0.136,0.006,23.188,170.43,1,21.32,24.96
Apr,JIYC,Gracilaria,0.594,0.151,NA,20.846,138.423,2,21.32,24.96
Apr,JIYC,Gracilaria,0.567,0.112,NA,27.282,244.099,3,21.32,24.96
May,SHEM,Ulva,0.729,0.218,0.006,29.342,134.555,1,26.68,25.83
May,SHEM,Ulva,0.731,0.247,0.005,44.544,180.5,2,26.68,25.83
May,SHEM,Ulva,0.692,0.215,0.008,42.783,199.005,3,26.68,25.83
May,SHEM,Gracilaria,0.568,0.186,0,21.37,115.063,1,26.68,25.83
May,SHEM,Gracilaria,0.586,0.177,-0.005,31.348,177.103,2,26.68,25.83
May,SHEM,Gracilaria,0.661,0.2,0.001,27.847,137.103,3,26.68,25.83
May,CHS,Ulva,0.729,0.218,0.006,29.342,134.555,1,26.19,23.36
May,CHS,Ulva,0.731,0.247,0.005,44.544,180.5,2,26.19,23.36
May,CHS,Ulva,0.692,0.215,0.008,42.783,199.005,3,26.19,23.36
May,CHS,Gracilaria,0.642,0.235,0.001,29.692,126.176,1,26.19,23.36
May,CHS,Gracilaria,0.603,0.12,0.001,11.695,97.263,2,26.19,23.36
May,CHS,Gracilaria,0.558,0.11,0.009,26.718,242.591,3,26.19,23.36
May,JIYC,Ulva,0.737,0.257,0.006,22.159,86.313,1,26.72,23.86
May,JIYC,Ulva,0.573,0.21,0.007,30.195,143.721,2,26.72,23.86
May,JIYC,Ulva,0.726,0.261,0.004,31.29,120.103,3,26.72,23.86
May,JIYC,Gracilaria,0.532,0.124,NA,14.637,118.12,1,26.72,23.86
May,JIYC,Gracilaria,0.586,0.139,0.002,16.392,118.242,2,26.72,23.86
May,JIYC,Gracilaria,0.567,0.2,0.004,18.462,92.286,3,26.72,23.86
Jun,SHEM,Ulva,0.763,0.275,0.028,75.389,0.763,1,29.11,26.38
Jun,SHEM,Ulva,0.744,0.26,0.032,61.379,235.77,2,29.11,26.38
Jun,SHEM,Ulva,0.745,0.258,0.032,57.129,221.856,3,29.11,26.38
Jun,SHEM,Gracilaria,0.576,0.127,NA,19.314,151.666,1,29.11,26.38
Jun,SHEM,Gracilaria,0.558,0.113,NA,21.393,189.972,2,29.11,26.38
Jun,SHEM,Gracilaria,0.553,0.188,0.002,19.931,106.101,3,29.11,26.38
Jun,CHS,Ulva,0.797,0.269,0.056,80.861,300.28,1,28.44,19.58
Jun,CHS,Ulva,0.744,0.268,0.014,34.752,129.789,2,28.44,19.58
Jun,CHS,Ulva,0.758,0.245,0.087,104.333,491.346,3,28.44,19.58
Jun,CHS,Gracilaria,0.554,0.149,-0.003,25.046,167.849,1,28.44,19.58
Jun,CHS,Gracilaria,0.605,0.172,-0.001,26.359,153.135,2,28.44,19.58
Jun,CHS,Gracilaria,0.557,0.125,NA,27.393,219.009,3,28.44,19.58
Jun,JIYC,Ulva,0.78,0.225,0.006,39.452,154.834,1,28.89,21.45
Jun,JIYC,Ulva,0.73,0.21,NA,89.469,426.08,2,28.89,21.45
Jun,JIYC,Ulva,0.756,0.259,0.037,85.686,330.277,3,28.89,21.45
Jun,JIYC,Gracilaria,0.439,0.07,NA,19.401,276.399,1,28.89,21.45
Jun,JIYC,Gracilaria,0.534,0.118,NA,26.232,222.65,2,28.89,21.45
Jun,JIYC,Gracilaria,0.43,0.235,0.006,28.146,119.665,3,28.89,21.45
Jul,SHEM,Ulva,0.774,0.292,0.021,70.673,241.734,1,29.83,25.67
Jul,SHEM,Ulva,0.76,0.286,0.015,36.428,127.152,2,29.83,25.67
Jul,SHEM,Ulva,0.739,0.242,0.007,34.886,144.134,3,29.83,25.67
Jul,SHEM,Gracilaria,0.566,0.171,0,23.92,139.658,1,29.83,25.67
Jul,SHEM,Gracilaria,0.583,0.09,NA,23.37,260.167,2,29.83,25.67
Jul,SHEM,Gracilaria,0.514,0.108,NA,41.18,381.174,3,29.83,25.67
Jul,CHS,Ulva,0.699,0.257,0.001,38.819,151.278,1,30.22,23.35
Jul,CHS,Ulva,0.757,0.265,0.005,61.074,230.461,2,30.22,23.35
Jul,CHS,Ulva,0.693,0.171,0.009,12.29,71.821,3,30.22,23.35
Jul,CHS,Gracilaria,0.608,0.202,0.001,20.824,102.906,1,30.22,23.35
Jul,CHS,Gracilaria,0.508,0.112,NA,27.768,247.188,2,30.22,23.35
Jul,CHS,Gracilaria,0.575,0.225,0.004,23.074,102.639,3,30.22,23.35
Jul,JIYC,Ulva,0.623,0.215,0.009,37.704,175.26,1,30.75,23.27
Jul,JIYC,Ulva,0.744,0.215,0.009,110.21,440.6,2,30.75,23.27
Jul,JIYC,Ulva,0.783,0.251,0.006,48.922,195.239,3,30.75,23.27
Jul,JIYC,Gracilaria,0.611,0.176,0,18.227,103.355,1,30.75,23.27
Jul,JIYC,Gracilaria,0.514,0.242,0.007,34.74,143.421,2,30.75,23.27
Jul,JIYC,Gracilaria,0.489,0.138,NA,30.294,218.7765,3,30.75,23.27
Aug,SHEM,Ulva,0.733,0.252,0.039,70.213,278.511,1,28.16,23.16
Aug,SHEM,Ulva,0.719,0.248,0.028,92.361,258.25,2,28.16,23.16
Aug,SHEM,Ulva,0.695,0.264,0.517,98.322,372.926,3,28.16,23.16
Aug,SHEM,Gracilaria,0.46,0.146,0,23.318,159.521,1,28.16,23.16
Aug,SHEM,Gracilaria,0.464,0.167,0.005,29.725,178.215,2,28.16,23.16
Aug,SHEM,Gracilaria,0.588,0.182,0.003,26.663,146.686,3,28.16,23.16
Aug,CHS,Ulva,0.714,0.222,0.008,20.043,90.461,1,28.9,21.79
Aug,CHS,Ulva,0.706,0.212,0.005,22.862,108.078,2,28.9,21.79
Aug,CHS,Ulva,0.726,0.243,0.001,56.227,231.192,3,28.9,21.79
Aug,CHS,Gracilaria,0.401,0.103,0.001,16.177,156.865,1,28.9,21.79
Aug,CHS,Gracilaria,0.522,0.167,0.001,21.097,126.006,2,28.9,21.79
Aug,CHS,Gracilaria,0.43,0.114,-0.002,30.55,266.945,3,28.9,21.79
Aug,JIYC,Ulva,0.722,0.219,NA,88.193,403.506,1,28.98,22.13
Aug,JIYC,Ulva,0.762,0.284,0.007,39.627,132.686,2,28.98,22.13
Aug,JIYC,Ulva,0.717,0.183,NA,50.915,278.616,3,28.98,22.13
Aug,JIYC,Gracilaria,0.423,0.138,NA,32.667,235.902,1,28.98,22.13
Aug,JIYC,Gracilaria,0.376,0.113,NA,42.702,378.973,2,28.98,22.13
Aug,JIYC,Gracilaria,0.366,0.119,NA,24.435,205.031,3,28.98,22.13
Sept.24,SHEM,Ulva,0.764,0.211,NA,118.184,560.565,1,25.36,28.57
Sept.24,SHEM,Ulva,0.781,0.271,0.036,81.9,301.845,2,25.36,28.57
Sept.24,SHEM,Ulva,0.798,0.195,NA,130.242,667.484,3,25.36,28.57
Sept.24,SHEM,Gracilaria,0.566,0.177,NA,24.461,138.223,1,25.36,28.57
Sept.24,SHEM,Gracilaria,0.548,0.242,0.083,44.136,182.421,2,25.36,28.57
Sept.24,SHEM,Gracilaria,0.52,0.197,NA,32.079,163.035,3,25.36,28.57
Sept.24,CHS,Ulva,0.736,0.218,NA,40.477,185.339,1,25.47,28
Sept.24,CHS,Ulva,0.777,0.288,0.004,37.422,129.821,2,25.47,28
Sept.24,CHS,Ulva,0.751,0.237,0.021,34.183,144.306,3,25.47,28
Sept.24,CHS,Gracilaria,0.588,0.119,NA,17.362,145.721,1,25.47,28
Sept.24,CHS,Gracilaria,0.51,0.154,NA,15.692,102.056,2,25.47,28
Sept.24,CHS,Gracilaria,0.549,0.121,NA,15.334,127.032,3,25.47,28
Sept.24,JIYC,Ulva,0.792,0.288,0.084,65.839,228.264,1,26.4,28.77
Sept.24,JIYC,Ulva,0.673,0.19,NA,80.531,424.591,2,26.4,28.77
Sept.24,JIYC,Ulva,0.784,0.217,NA,84.118,388.065,3,26.4,28.77
Sept.24,JIYC,Gracilaria,0.425,0.114,NA,40.528,354.534,1,26.4,28.77
Sept.24,JIYC,Gracilaria,0.563,0.123,NA,15.222,123.944,2,26.4,28.77
Sept.24,JIYC,Gracilaria,0.561,0.195,NA,19.587,100.375,3,26.4,28.77